[08:22:21.642] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20220121
[08:22:23.367] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20190225
[08:22:25.084] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20231013
[08:22:26.811] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20231013
[08:22:27.526] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20210927
[08:22:29.246] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20210125
[08:22:30.970] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20190715
[08:22:32.685] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20220225
[08:22:34.410] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20220106
[08:22:36.133] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20210802
[08:22:37.858] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20190719
[08:22:39.582] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20240508
[08:22:41.305] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20221104
[08:22:43.031] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20161228
[08:22:44.753] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20240617
[08:22:46.490] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20190308
[08:22:48.209] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20180212
[08:26:46.464] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:26:48.550] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:26:49.252] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20200316
[08:26:50.968] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20210531
[08:26:52.577] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20160104
[08:26:52.697] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20230328
[08:26:53.295] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20220902
[08:26:54.430] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20240626
[08:26:55.021] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20180727
[08:26:56.756] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20161207
[08:26:58.489] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20190328
[08:27:00.212] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20170314
[08:27:01.943] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20200924
[08:27:03.681] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20200410
[08:27:05.414] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20191007
[08:27:07.142] Fragment Rerender - Config: ('KRWTSY', '20160104', '20260123'), Selected: 20170324
